sample,location,date,celltype,conc
1,Confital_1,2020-04-28T00:00:00Z,nanoeuka,680.3757299
1,Confital_1,2020-04-28T00:00:00Z,picoeuka,6265.66416
1,Confital_1,2020-04-28T00:00:00Z,prochloro,8966.165414
1,Confital_1,2020-04-28T00:00:00Z,synecho,4868.421053
1,Confital_1,2020-04-28T00:00:00Z,hna,144451.6129
1,Confital_1,2020-04-28T00:00:00Z,lna,132000
2,Confital_1,2020-05-26T00:00:00Z,nanoeuka,467.7154832
2,Confital_1,2020-05-26T00:00:00Z,picoeuka,3070.820433
2,Confital_1,2020-05-26T00:00:00Z,prochloro,13815.78947
2,Confital_1,2020-05-26T00:00:00Z,synecho,7679.95356
2,Confital_1,2020-05-26T00:00:00Z,hna,234285.7143
2,Confital_1,2020-05-26T00:00:00Z,lna,125978.022
3,Confital_1,2020-07-06T00:00:00Z,nanoeuka,473.0368969
3,Confital_1,2020-07-06T00:00:00Z,picoeuka,3732.026144
3,Confital_1,2020-07-06T00:00:00Z,prochloro,27915.03268
3,Confital_1,2020-07-06T00:00:00Z,synecho,13797.38562
3,Confital_1,2020-07-06T00:00:00Z,hna,305000
3,Confital_1,2020-07-06T00:00:00Z,lna,129956.5217
4,Confital_1,2020-08-10T00:00:00Z,nanoeuka,355.2355236
4,Confital_1,2020-08-10T00:00:00Z,picoeuka,1518.829754
4,Confital_1,2020-08-10T00:00:00Z,prochloro,32959.85061
4,Confital_1,2020-08-10T00:00:00Z,synecho,18288.20417
4,Confital_1,2020-08-10T00:00:00Z,hna,219978.2609
4,Confital_1,2020-08-10T00:00:00Z,lna,120717.3913
5,Confital_1,2020-08-31T00:00:00Z,nanoeuka,624.2057042
5,Confital_1,2020-08-31T00:00:00Z,picoeuka,3393.463497
5,Confital_1,2020-08-31T00:00:00Z,prochloro,47406.62139
5,Confital_1,2020-08-31T00:00:00Z,synecho,10466.89304
5,Confital_1,2020-08-31T00:00:00Z,hna,573010.0334
5,Confital_1,2020-08-31T00:00:00Z,lna,157725.7525
6,Confital_1,2020-10-05T00:00:00Z,nanoeuka,747.1150414
6,Confital_1,2020-10-05T00:00:00Z,picoeuka,3289.057559
6,Confital_1,2020-10-05T00:00:00Z,prochloro,36875.39532
6,Confital_1,2020-10-05T00:00:00Z,synecho,6230.234029
6,Confital_1,2020-10-05T00:00:00Z,hna,556128.4869
6,Confital_1,2020-10-05T00:00:00Z,lna,161335.5875
7,Confital_1,2020-11-02T00:00:00Z,nanoeuka,1009.30093
7,Confital_1,2020-11-02T00:00:00Z,picoeuka,6484.962406
7,Confital_1,2020-11-02T00:00:00Z,prochloro,34561.40351
7,Confital_1,2020-11-02T00:00:00Z,synecho,5375.93985
7,Confital_1,2020-11-02T00:00:00Z,hna,392637.3626
7,Confital_1,2020-11-02T00:00:00Z,lna,82464.67818
8,Confital_1,2020-12-01T00:00:00Z,nanoeuka,611.8382736
8,Confital_1,2020-12-01T00:00:00Z,picoeuka,3886.547595
8,Confital_1,2020-12-01T00:00:00Z,prochloro,53435.01238
