date,conc
2009-02-19T00:00:00Z,2
2009-03-06T00:00:00Z,0
2009-03-16T00:00:00Z,0
2009-03-30T00:00:00Z,13
2009-04-27T00:00:00Z,0
2009-05-25T00:00:00Z,0
2009-06-22T00:00:00Z,2
2009-07-07T00:00:00Z,0
2009-07-20T00:00:00Z,24
2009-08-03T00:00:00Z,13
2009-08-17T00:00:00Z,7
2009-08-31T00:00:00Z,2
2009-09-14T00:00:00Z,30
2009-09-28T00:00:00Z,0
2009-10-26T00:00:00Z,0
2009-11-09T00:00:00Z,0
2009-12-21T00:00:00Z,54
2010-01-19T00:00:00Z,2
2010-02-17T00:00:00Z,9
2010-03-12T00:00:00Z,16
2010-05-12T00:00:00Z,4
2010-06-09T00:00:00Z,1
2010-07-07T00:00:00Z,9
2010-07-20T00:00:00Z,0
2010-08-03T00:00:00Z,5
2010-08-17T00:00:00Z,21
2010-08-31T00:00:00Z,6
2010-09-15T00:00:00Z,10
2010-09-29T00:00:00Z,20
2010-10-11T00:00:00Z,0
2010-11-10T00:00:00Z,45
2010-12-28T00:00:00Z,0
2011-01-31T00:00:00Z,2
2011-02-07T00:00:00Z,2
2011-03-14T00:00:00Z,18
2011-04-11T00:00:00Z,0
2011-05-09T00:00:00Z,0
2011-06-06T00:00:00Z,3
2011-07-04T00:00:00Z,0
2011-07-18T00:00:00Z,0
2011-08-01T00:00:00Z,2
2011-08-16T00:00:00Z,0
2011-08-29T00:00:00Z,14
2011-09-12T00:00:00Z,11
2011-09-26T00:00:00Z,0
2011-11-21T00:00:00Z,0
2011-12-05T00:00:00Z,0
2011-12-19T00:00:00Z,0
2012-01-16T00:00:00Z,7
2012-02-12T00:00:00Z,0
2012-03-12T00:00:00Z,0
2012-04-09T00:00:00Z,0
2012-05-07T00:00:00Z,22
2012-06-04T00:00:00Z,6
2012-07-02T00:00:00Z,1
2012-07-16T00:00:00Z,0
2012-07-30T00:00:00Z,0
2012-08-13T00:00:00Z,0
2012-08-27T00:00:00Z,1
2012-09-10T00:00:00Z,4
2012-09-24T00:00:00Z,3
2012-10-22T00:00:00Z,0
2012-11-19T00:00:00Z,0
2012-12-17T00:00:00Z,2
2013-01-14T00:00:00Z,1
2013-02-11T00:00:00Z,0
2013-03-11T00:00:00Z,0
2013-04-08T00:00:00Z,0
2013-05-06T00:00:00Z,0
2013-06-03T00:00:00Z,0
2013-07-01T00:00:00Z,0
2013-07-15T00:00:00Z,0
2013-07-29T00:00:00Z,6
2013-08-12T00:00:00Z,15
2013-08-26T00:00:00Z,3
2013-09-10T00:00:00Z,4
2013-09-23T00:00:00Z,0
2013-10-28T00:00:00Z,6
2013-11-25T00:00:00Z,28
2013-12-23T00:00:00Z,2
2014-01-20T00:00:00Z,4
2014-02-17T00:00:00Z,0
2014-03-17T00:00:00Z,0
2014-04-14T00:00:00Z,4
2014-05-12T00:00:00Z,0
2014-06-09T00:00:00Z,0
2014-07-07T00:00:00Z,0
2014-07-21T00:00:00Z,0
2014-08-04T00:00:00Z,0
2014-08-18T00:00:00Z,0
2014-09-01T00:00:00Z,12
2014-09-15T00:00:00Z,4
