sample,location,date,formula,conc
1,Confital_1,2020-04-28T00:00:00Z,toc,79.6
1,Confital_1,2020-04-28T00:00:00Z,ton,7
1,Confital_1,2020-04-28T00:00:00Z,silicate,0.72
1,Confital_1,2020-04-28T00:00:00Z,phosphate,0.05
1,Confital_1,2020-04-28T00:00:00Z,ammonium,0.78
1,Confital_1,2020-04-28T00:00:00Z,nitrates_and_nitrites,0.73
2,Confital_1,2020-05-26T00:00:00Z,toc,72.1
2,Confital_1,2020-05-26T00:00:00Z,ton,8.3
2,Confital_1,2020-05-26T00:00:00Z,silicate,0.64
2,Confital_1,2020-05-26T00:00:00Z,phosphate,0.02
2,Confital_1,2020-05-26T00:00:00Z,ammonium,0.12
2,Confital_1,2020-05-26T00:00:00Z,nitrates_and_nitrites,1.44
3,Confital_1,2020-07-06T00:00:00Z,toc,93.6
3,Confital_1,2020-07-06T00:00:00Z,ton,6.8
3,Confital_1,2020-07-06T00:00:00Z,silicate,2.08
3,Confital_1,2020-07-06T00:00:00Z,phosphate,1.24
3,Confital_1,2020-07-06T00:00:00Z,ammonium,0.69
3,Confital_1,2020-07-06T00:00:00Z,nitrates_and_nitrites,3.33
4,Confital_1,2020-08-10T00:00:00Z,toc,114.3
4,Confital_1,2020-08-10T00:00:00Z,ton,34.7
4,Confital_1,2020-08-10T00:00:00Z,silicate,0.36
4,Confital_1,2020-08-10T00:00:00Z,phosphate,0.93
4,Confital_1,2020-08-10T00:00:00Z,ammonium,1.01
4,Confital_1,2020-08-10T00:00:00Z,nitrates_and_nitrites,0.98
5,Confital_1,2020-08-31T00:00:00Z,toc,82.8
5,Confital_1,2020-08-31T00:00:00Z,ton,9.2
5,Confital_1,2020-08-31T00:00:00Z,silicate,1.08
5,Confital_1,2020-08-31T00:00:00Z,phosphate,0.17
5,Confital_1,2020-08-31T00:00:00Z,ammonium,0.23
5,Confital_1,2020-08-31T00:00:00Z,nitrates_and_nitrites,1.74
6,Confital_1,2020-10-05T00:00:00Z,toc,75.3
6,Confital_1,2020-10-05T00:00:00Z,ton,8.7
6,Confital_1,2020-10-05T00:00:00Z,silicate,0.9
6,Confital_1,2020-10-05T00:00:00Z,phosphate,0.15
6,Confital_1,2020-10-05T00:00:00Z,ammonium,0.5
6,Confital_1,2020-10-05T00:00:00Z,nitrates_and_nitrites,1.31
7,Confital_1,2020-11-02T00:00:00Z,toc,75.7
7,Confital_1,2020-11-02T00:00:00Z,ton,7.6
7,Confital_1,2020-11-02T00:00:00Z,silicate,1.7
7,Confital_1,2020-11-02T00:00:00Z,phosphate,0.07
7,Confital_1,2020-11-02T00:00:00Z,ammonium,0.29
7,Confital_1,2020-11-02T00:00:00Z,nitrates_and_nitrites,2.19
8,Confital_1,2020-12-01T00:00:00Z,toc,72.4
8,Confital_1,2020-12-01T00:00:00Z,ton,6.6
8,Confital_1,2020-12-01T00:00:00Z,silicate,0.96
8,Confital_1,2020-12-01T00:00:00Z,phosphate,0.15
8,Confital_1,2020-12-01T00:00:00Z,ammonium,0.12
