key,date,site,ecoli,ente
09w08-1-CFP,2009-02-19T00:00:00Z,Confital_1,0,2
09w10-1-CFP,2009-03-06T00:00:00Z,Confital_1,2,0
09w11-1-CFP,2009-03-16T00:00:00Z,Confital_1,0,0
09w13-1-CFP,2009-03-30T00:00:00Z,Confital_1,0,13
09w17-1-CFP,2009-04-27T00:00:00Z,Confital_1,0,0
09w21-1-CFP,2009-05-25T00:00:00Z,Confital_1,0,0
09w25-1-CFP,2009-06-22T00:00:00Z,Confital_1,0,2
09w27-1-CFP,2009-07-07T00:00:00Z,Confital_1,0,0
09w29-1-CFP,2009-07-20T00:00:00Z,Confital_1,0,24
09w31-1-CFP,2009-08-03T00:00:00Z,Confital_1,0,13
09w33-1-CFP,2009-08-17T00:00:00Z,Confital_1,0,7
09w35-1-CFP,2009-08-31T00:00:00Z,Confital_1,0,2
09w37-1-CFP,2009-09-14T00:00:00Z,Confital_1,10,30
09w39-1-CFP,2009-09-28T00:00:00Z,Confital_1,6,0
09w43-1-CFP,2009-10-26T00:00:00Z,Confital_1,0,0
09w45-1-CFP,2009-11-09T00:00:00Z,Confital_1,2,0
09w51-1-CFP,2009-12-21T00:00:00Z,Confital_1,164,54
10w03-1-CFP,2010-01-19T00:00:00Z,Confital_1,14,2
10w07-1-CFP,2010-02-17T00:00:00Z,Confital_1,6,9
10w11-1-CFP,2010-03-12T00:00:00Z,Confital_1,0,16
10w19-1-CFP,2010-05-12T00:00:00Z,Confital_1,2,4
10w23-1-CFP,2010-06-09T00:00:00Z,Confital_1,6,1
10w27-1-CFP,2010-07-07T00:00:00Z,Confital_1,1,9
10w29-1-CFP,2010-07-20T00:00:00Z,Confital_1,6,0
10w31-1-CFP,2010-08-03T00:00:00Z,Confital_1,10,5
10w33-1-CFP,2010-08-17T00:00:00Z,Confital_1,11,21
10w35-1-CFP,2010-08-31T00:00:00Z,Confital_1,6,6
10w37-1-CFP,2010-09-15T00:00:00Z,Confital_1,16,10
10w39-1-CFP,2010-09-29T00:00:00Z,Confital_1,33,20
10w41-1-CFP,2010-10-11T00:00:00Z,Confital_1,1,0
10w45-1-CFP,2010-11-10T00:00:00Z,Confital_1,61,45
10w52-1-CFP,2010-12-28T00:00:00Z,Confital_1,0,0
11w05-1-CFP,2011-01-31T00:00:00Z,Confital_1,6,2
11w06-1-CFP,2011-02-07T00:00:00Z,Confital_1,0,2
11w11-1-CFP,2011-03-14T00:00:00Z,Confital_1,3,18
11w15-1-CFP,2011-04-11T00:00:00Z,Confital_1,0,0
11w19-1-CFP,2011-05-09T00:00:00Z,Confital_1,0,0
11w23-1-CFP,2011-06-06T00:00:00Z,Confital_1,9,3
11w27-1-CFP,2011-07-04T00:00:00Z,Confital_1,0,0
11w29-1-CFP,2011-07-18T00:00:00Z,Confital_1,0,0
11w31-1-CFP,2011-08-01T00:00:00Z,Confital_1,9,2
11w33-1-CFP,2011-08-16T00:00:00Z,Confital_1,0,0
11w35-1-CFP,2011-08-29T00:00:00Z,Confital_1,20,14
11w37-1-CFP,2011-09-12T00:00:00Z,Confital_1,4,11
11w39-1-CFP,2011-09-26T00:00:00Z,Confital_1,0,0
11w47-1-CFP,2011-11-21T00:00:00Z,Confital_1,0,0
11w49-1-CFP,2011-12-05T00:00:00Z,Confital_1,0,0
11w51-1-CFP,2011-12-19T00:00:00Z,Confital_1,0,0
12w03-1-CFP,2012-01-16T00:00:00Z,Confital_1,11,7
12w07-1-CFP,2012-02-12T00:00:00Z,Confital_1,0,0
12w11-1-CFP,2012-03-12T00:00:00Z,Confital_1,0,0
12w15-1-CFP,2012-04-09T00:00:00Z,Confital_1,0,0
12w19-1-CFP,2012-05-07T00:00:00Z,Confital_1,0,22
12w23-1-CFP,2012-06-04T00:00:00Z,Confital_1,0,6
12w27-1-CFP,2012-07-02T00:00:00Z,Confital_1,0,1
12w29-1-CFP,2012-07-16T00:00:00Z,Confital_1,0,0
12w31-1-CFP,2012-07-30T00:00:00Z,Confital_1,1,0
12w33-1-CFP,2012-08-13T00:00:00Z,Confital_1,1,0
12w35-1-CFP,2012-08-27T00:00:00Z,Confital_1,3,1
12w37-1-CFP,2012-09-10T00:00:00Z,Confital_1,67,4
12w39-1-CFP,2012-09-24T00:00:00Z,Confital_1,1,3
12w43-1-CFP,2012-10-22T00:00:00Z,Confital_1,6,0
12w47-1-CFP,2012-11-19T00:00:00Z,Confital_1,4,0
12w51-1-CFP,2012-12-17T00:00:00Z,Confital_1,5,2
13w02-1-CFP,2013-01-14T00:00:00Z,Confital_1,1,1
13w06-1-CFP,2013-02-11T00:00:00Z,Confital_1,0,0
13w10-1-CFP,2013-03-11T00:00:00Z,Confital_1,2,0
13w14-1-CFP,2013-04-08T00:00:00Z,Confital_1,0,0
13w18-1-CFP,2013-05-06T00:00:00Z,Confital_1,4,0
13w22-1-CFP,2013-06-03T00:00:00Z,Confital_1,1,0
13w26-1-CFP,2013-07-01T00:00:00Z,Confital_1,3,0
13w28-1-CFP,2013-07-15T00:00:00Z,Confital_1,3,0
13w30-1-CFP,2013-07-29T00:00:00Z,Confital_1,1,6
13w32-1-CFP,2013-08-12T00:00:00Z,Confital_1,19,15
13w34-1-CFP,2013-08-26T00:00:00Z,Confital_1,2,3
13w37-1-CFP,2013-09-10T00:00:00Z,Confital_1,5,4
13w38-1-CFP,2013-09-23T00:00:00Z,Confital_1,0,0
13w43-1-CFP,2013-10-28T00:00:00Z,Confital_1,34,6
13w47-1-CFP,2013-11-25T00:00:00Z,Confital_1,4,28
13w51-1-CFP,2013-12-23T00:00:00Z,Confital_1,4,2
14w03-1-CFP,2014-01-20T00:00:00Z,Confital_1,8,4
14w07-1-CFP,2014-02-17T00:00:00Z,Confital_1,0,0
14w11-1-CFP,2014-03-17T00:00:00Z,Confital_1,0,0
14w15-1-CFP,2014-04-14T00:00:00Z,Confital_1,7,4
14w19-1-CFP,2014-05-12T00:00:00Z,Confital_1,0,0
14w23-1-CFP,2014-06-09T00:00:00Z,Confital_1,0,0
14w27-1-CFP,2014-07-07T00:00:00Z,Confital_1,0,0
14w29-1-CFP,2014-07-21T00:00:00Z,Confital_1,6,0
14w31-1-CFP,2014-08-04T00:00:00Z,Confital_1,4,0
14w33-1-CFP,2014-08-18T00:00:00Z,Confital_1,3,0
14w35-1-CFP,2014-09-01T00:00:00Z,Confital_1,12,12
14w37-1-CFP,2014-09-15T00:00:00Z,Confital_1,29,4
14w39-1-CFP,2014-09-29T00:00:00Z,Confital_1,0,0
14w43-1-CFP,2014-10-27T00:00:00Z,Confital_1,0,0
14w47-1-CFP,2014-11-24T00:00:00Z,Confital_1,0,9
14w51-1-CFP,2014-12-22T00:00:00Z,Confital_1,0,0
15w03-1-CFP,2015-01-19T00:00:00Z,Confital_1,1,0
15w07-1-CFP,2015-02-16T00:00:00Z,Confital_1,3,0
15w11-1-CFP,2015-03-16T00:00:00Z,Confital_1,9,6
15w15-1-CFP,2015-04-13T00:00:00Z,Confital_1,0,0
15w19-1-CFP,2015-05-11T00:00:00Z,Confital_1,0,0
15w23-1-CFP,2015-06-08T00:00:00Z,Confital_1,10,0
15w27-1-CFP,2015-07-06T00:00:00Z,Confital_1,3,0
15w29-1-CFP,2015-07-20T00:00:00Z,Confital_1,0,3
15w31-1-CFP,2015-08-03T00:00:00Z,Confital_1,3,3
15w33-1-CFP,2015-08-17T00:00:00Z,Confital_1,3,3
15w35-1-CFP,2015-08-31T00:00:00Z,Confital_1,15,48
15w37-1-CFP,2015-09-14T00:00:00Z,Confital_1,17,86
15w39-1-CFP,2015-09-28T00:00:00Z,Confital_1,15,65
15w43-1-CFP,2015-10-26T00:00:00Z,Confital_1,NA,NA
15w47-1-CFP,2015-11-23T00:00:00Z,Confital_1,3,59
15w51-1-CFP,2015-12-21T00:00:00Z,Confital_1,3,4
16w03-1-CFP,2016-01-18T00:00:00Z,Confital_1,0,35
16w07-1-CFP,2016-02-15T00:00:00Z,Confital_1,3,11
16w11-1-CFP,2016-03-14T00:00:00Z,Confital_1,3,3
16w15-1-CFP,2016-04-11T00:00:00Z,Confital_1,3,3
16w19-1-CFP,2016-05-09T00:00:00Z,Confital_1,3,3
16w23-1-CFP,2016-06-06T00:00:00Z,Confital_1,0,0
16w27-1-CFP,2016-07-04T00:00:00Z,Confital_1,19,92
16w29-2-CFS,2016-07-18T00:00:00Z,Confital_2,39,94
16w31-2-CFS,2016-08-01T00:00:00Z,Confital_2,4,77
16w33-2-CFS,2016-08-16T00:00:00Z,Confital_2,6,138
16w35-2-CFS,2016-08-29T00:00:00Z,Confital_2,10,270
16w37-2-CFS,2016-09-12T00:00:00Z,Confital_2,2,148
16w39-2-CFS,2016-09-26T00:00:00Z,Confital_2,2,56
16w43-2-CFS,2016-10-24T00:00:00Z,Confital_2,41,62
16w47-2-CFS,2016-11-21T00:00:00Z,Confital_2,6,56
16w51-2-CFS,2016-12-19T00:00:00Z,Confital_2,0,40
17w03-2-CFS,2017-01-16T00:00:00Z,Confital_2,0,23
17w07-2-CFS,2017-02-13T00:00:00Z,Confital_2,0,4
17w11-2-CFS,2017-03-13T00:00:00Z,Confital_2,0,10
17w15-2-CFS,2017-04-10T00:00:00Z,Confital_2,0,42
17w19-2-CFS,2017-05-08T00:00:00Z,Confital_2,0,130
17w23-2-CFS,2017-06-05T00:00:00Z,Confital_2,1,200
17w28-2-CFS,2017-07-10T00:00:00Z,Confital_2,0,280
17w30-2-CFS,2017-07-24T00:00:00Z,Confital_2,10,240
17w32-2-CFS,2017-08-07T00:00:00Z,Confital_2,14,90
17w34-2-CFS,2017-08-21T00:00:00Z,Confital_2,60,110
17w36-2-CFS,2017-09-04T00:00:00Z,Confital_2,4,120
17w38-2-CFS,2017-09-18T00:00:00Z,Confital_2,0,180
17w43-2-CFS,2017-10-23T00:00:00Z,Confital_2,0,21
17w47-2-CFS,2017-11-20T00:00:00Z,Confital_2,2,84
17w51-2-CFS,2017-12-18T00:00:00Z,Confital_2,1,39
18w03-2-CFS,2018-01-15T00:00:00Z,Confital_2,1,13
18w07-2-CFS,2018-02-12T00:00:00Z,Confital_2,0,39
18w11-2-CFS,2018-03-12T00:00:00Z,Confital_2,2,10
18w15-2-CFS,2018-04-09T00:00:00Z,Confital_2,2,6
18w19-2-CFS,2018-05-07T00:00:00Z,Confital_2,0,21
18w23-2-CFS,2018-06-04T00:00:00Z,Confital_2,15,33
18w27-2-CFS,2018-07-02T00:00:00Z,Confital_2,1,49
18w30-2-CFS,2018-07-23T00:00:00Z,Confital_2,0,83
18w32-2-CFS,2018-08-06T00:00:00Z,Confital_2,7,220
18w34-2-CFS,2018-08-20T00:00:00Z,Confital_2,2,75
18w36-2-CFS,2018-09-03T00:00:00Z,Confital_2,2,70
18w38-2-CFS,2018-09-17T00:00:00Z,Confital_2,3,84
18w43-2-CFS,2018-10-22T00:00:00Z,Confital_2,3,56
18w47-2-CFS,2018-11-19T00:00:00Z,Confital_2,1,16
18w51-2-CFS,2018-12-17T00:00:00Z,Confital_2,0,23
19w02-2-CFS,2019-01-14T00:00:00Z,Confital_2,0,61
19w06-2-CFS,2019-02-11T00:00:00Z,Confital_2,1,8
19w10-2-CFS,2019-03-11T00:00:00Z,Confital_2,0,13
19w14-2-CFS,2019-04-08T00:00:00Z,Confital_2,0,20
19w18-2-CFS,2019-05-06T00:00:00Z,Confital_2,1,40
19w22-2-CFS,2019-06-03T00:00:00Z,Confital_2,1,340
19w23-2-CFS,2019-06-10T00:00:00Z,Confital_2,0,120
19w27-2-CFS,2019-07-08T00:00:00Z,Confital_2,0,160
19w29-2-CFS,2019-07-22T00:00:00Z,Confital_2,0,75
19w31-2-CFS,2019-08-05T00:00:00Z,Confital_2,0,68
19w33-2-CFS,2019-08-19T00:00:00Z,Confital_2,4,19
19w35-2-CFS,2019-09-02T00:00:00Z,Confital_2,0,25
19w37-2-CFS,2019-09-16T00:00:00Z,Confital_2,1,190
19w40-2-CFS,2019-10-07T00:00:00Z,Confital_2,1,71
19w44-2-CFS,2019-11-04T00:00:00Z,Confital_2,0,72
19w48-2-CFS,2019-12-02T00:00:00Z,Confital_2,1,43
19w52-2-CFS,2019-12-30T00:00:00Z,Confital_2,1,17
20w04-2-CFS,2020-01-27T00:00:00Z,Confital_2,0,19
20w08-2-CFS,2020-02-24T00:00:00Z,Confital_2,0,100
20w13-2-CFS,2020-03-26T00:00:00Z,Confital_2,0,13
20w20-2-CFS,2020-05-18T00:00:00Z,Confital_2,0,62
20w24-2-CFS,2020-06-15T00:00:00Z,Confital_2,1,90
20w27-2-CFS,2020-07-06T00:00:00Z,Confital_2,0,0
20w29-2-CFS,2020-07-20T00:00:00Z,Confital_2,3,170
20w31-2-CFS,2020-08-03T00:00:00Z,Confital_2,6,59
20w33-2-CFS,2020-08-17T00:00:00Z,Confital_2,0,7
20w35-2-CFS,2020-08-31T00:00:00Z,Confital_2,1,200
20w37-2-CFS,2020-09-14T00:00:00Z,Confital_2,4,110
20w39-2-CFS,2020-09-28T00:00:00Z,Confital_2,1,79
21w03-2-CFS,2021-01-18T00:00:00Z,Confital_2,8,4
21w07-2-CFS,2021-02-15T00:00:00Z,Confital_2,3,3
21w11-2-CFS,2021-03-15T00:00:00Z,Confital_2,0,10
21w15-2-CFS,2021-04-12T00:00:00Z,Confital_2,65,9
