key,date,site,ecoli,ente
19w04-2-CFS,2019-01-23T00:00:00Z,Confital_2,0,5
19w05-2-CFS,2019-02-04T00:00:00Z,Confital_2,0,26
19w07-2-CFS,2019-02-18T00:00:00Z,Confital_2,3,170
19w10-2-CFS,2019-03-11T00:00:00Z,Confital_2,3,360
19w12-2-CFS,2019-03-25T00:00:00Z,Confital_2,300,56
19w14-2-CFS,2019-04-08T00:00:00Z,Confital_2,3,28
19w16-2-CFS,2019-04-22T00:00:00Z,Confital_2,3,37
19w18-2-CFS,2019-05-06T00:00:00Z,Confital_2,3,56
19w20-2-CFS,2019-05-20T00:00:00Z,Confital_2,3,73
19w22-2-CFS,2019-06-03T00:00:00Z,Confital_2,3,140
19w24-2-CFS,2019-06-17T00:00:00Z,Confital_2,0,44
19w26-2-CFS,2019-07-01T00:00:00Z,Confital_2,2,340
19w30-2-CFS,2019-07-29T00:00:00Z,Confital_2,0,410
19w31-2-CFS,2019-08-05T00:00:00Z,Confital_2,4,140
19w34-2-CFS,2019-08-26T00:00:00Z,Confital_2,0,360
19w38-2-CFS,2019-09-17T00:00:00Z,Confital_2,3,28
19w39-2-CFS,2019-09-30T00:00:00Z,Confital_2,0,64
19w41-2-CFS,2019-10-14T00:00:00Z,Confital_2,0,44
19w42-2-CFS,2019-10-21T00:00:00Z,Confital_2,2,43
19w44-2-CFS,2019-11-04T00:00:00Z,Confital_2,2,380
19w45-2-CFS,2019-11-11T00:00:00Z,Confital_2,2,340
20w03-2-CFS,2020-01-21T00:00:00Z,Confital_2,0,480
20w05-2-CFS,2020-02-03T00:00:00Z,Confital_2,2,50
20w07-2-CFS,2020-02-17T00:00:00Z,Confital_2,2,30
20w09-2-CFS,2020-03-02T00:00:00Z,Confital_2,3,29
20w21-2-CFS,2020-05-26T00:00:00Z,Confital_2,0,57
20w23-2-CFS,2020-06-09T00:00:00Z,Confital_2,0,22
20w26-2-CFS,2020-06-30T00:00:00Z,Confital_2,0,150
20w27-2-CFS,2020-07-06T00:00:00Z,Confital_2,0,70
20w29-2-CFS,2020-07-20T00:00:00Z,Confital_2,4,1000
20w31-2-CFS,2020-08-03T00:00:00Z,Confital_2,7,250
20w34-2-CFS,2020-08-24T00:00:00Z,Confital_2,0,31
20w35-2-CFS,2020-08-31T00:00:00Z,Confital_2,3,340
20w38-2-CFS,2020-09-21T00:00:00Z,Confital_2,0,57
20w40-2-CFS,2020-10-05T00:00:00Z,Confital_2,5,7
20w42-2-CFS,2020-10-19T00:00:00Z,Confital_2,0,27
20w44-2-CFS,2020-11-03T00:00:00Z,Confital_2,0,60
20w46-2-CFS,2020-11-16T00:00:00Z,Confital_2,2,80
21w03-2-CFS,2021-01-18T00:00:00Z,Confital_2,6,9
21w06-2-CFS,2021-02-08T00:00:00Z,Confital_2,1,11
21w08-2-CFS,2021-02-22T00:00:00Z,Confital_2,2,3
21w09-2-CFS,2021-03-01T00:00:00Z,Confital_2,1,70
21w12-2-CFS,2021-03-22T00:00:00Z,Confital_2,3,9
21w14-2-CFS,2021-04-06T00:00:00Z,Confital_2,1,18
21w20-2-CFS,2021-05-17T00:00:00Z,Confital_2,1,69
21w22-2-CFS,2021-06-02T00:00:00Z,Confital_2,1,47
21w24-2-CFS,2021-06-14T00:00:00Z,Confital_2,3,39
21w26-2-CFS,2021-06-28T00:00:00Z,Confital_2,2,48
21w28-2-CFS,2021-07-13T00:00:00Z,Confital_2,1,62
21w30-2-CFS,2021-07-27T00:00:00Z,Confital_2,9,45
21w32-2-CFS,2021-08-09T00:00:00Z,Confital_2,11,1500
21w35-2-CFS,2021-08-30T00:00:00Z,Confital_2,1,310
21w37-2-CFS,2021-09-14T00:00:00Z,Confital_2,1,1700
21w38-2-CFS,2021-09-20T00:00:00Z,Confital_2,1,690
21w40-2-CFS,2021-10-04T00:00:00Z,Confital_2,2,770
21w42-2-CFS,2021-10-18T00:00:00Z,Confital_2,2,670
21w45-2-CFS,2021-11-08T00:00:00Z,Confital_2,5,190
21w46-2-CFS,2021-11-15T00:00:00Z,Confital_2,1,58
22w03-2-CFS,2022-01-18T00:00:00Z,Confital_2,1,200
22w03-3-PNT,2022-01-17T00:00:00Z,La_Puntilla,17,5
22w03-5-HTI,2022-01-17T00:00:00Z,Reina_Isabel,3,5
22w03-7-PVJ,2022-01-17T00:00:00Z,Pena_la_Vieja,1,1
22w03-9-CCR,2022-01-17T00:00:00Z,Cicer,1,1
22w07-2-CFS,2022-02-14T00:00:00Z,Confital_2,3,230
22w07-3-PNT,2022-02-15T00:00:00Z,La_Puntilla,400,15
22w07-3-PNT,2022-02-16T00:00:00Z,La_Puntilla,6,13
22w07-5-HTI,2022-02-15T00:00:00Z,Reina_Isabel,2,3
22w07-7-PVJ,2022-02-15T00:00:00Z,Pena_la_Vieja,1,11
22w07-9-CCR,2022-02-15T00:00:00Z,Cicer,1,1
22w10-2-CFS,2022-03-07T00:00:00Z,Confital_2,1,16
22w10-3-PNT,2022-03-08T00:00:00Z,La_Puntilla,1,1
22w10-5-HTI,2022-03-08T00:00:00Z,Reina_Isabel,1,1
