key,date,site,nanoeukaryotes,picoeukaryotes,prochlorococcus,synechococcus,bacteria_hna,bacteria_lna,diatoms,dinoflagellates,silicoflagellates,protozoos,toc,tn,ton,nitrate,nitrite,silicate,phosphate,ammonium,chl_a,sst
20w17-1-CFP,2020-04-28T00:00:00Z,Confital_1,680.3757299,6265.66416,8966.165414,4868.421053,144451.6129,132000,6.37,11.97,0,0.24,79.6,8.5,7,0.72,0.01,0.72,0.05,0.78,NA,20.3
20w21-1-CFP,2020-05-26T00:00:00Z,Confital_1,467.7154832,3070.820433,13815.78947,7679.95356,234285.7143,125978.022,3.72,11.25,0,0.06,72.1,9.8,8.3,1.43,0.01,0.64,0.02,0.12,NA,20.8
20w27-1-CFP,2020-07-06T00:00:00Z,Confital_1,473.0368969,3732.026144,27915.03268,13797.38562,305000,129956.5217,0.97,5.03,0.24,0.05,93.6,10.8,6.8,3.3,0.03,2.08,1.24,0.69,NA,21.5
20w32-1-CFP,2020-08-10T00:00:00Z,Confital_1,355.2355236,1518.829754,32959.85061,18288.20417,219978.2609,120717.3913,0.6,2.06,0,0.02,114.3,36.7,34.7,0.95,0.03,0.36,0.93,1.01,NA,22.4
20w35-1-CFP,2020-08-31T00:00:00Z,Confital_1,624.2057042,3393.463497,47406.62139,10466.89304,573010.0334,157725.7525,NA,NA,NA,NA,82.8,11.2,9.2,1.7,0.04,1.08,0.17,0.23,NA,23
20w40-1-CFP,2020-10-05T00:00:00Z,Confital_1,747.1150414,3289.057559,36875.39532,6230.234029,556128.4869,161335.5875,4.69,9.47,0,0.04,75.3,10.5,8.7,1.28,0.03,0.9,0.15,0.5,NA,23.3
20w44-1-CFP,2020-11-02T00:00:00Z,Confital_1,1009.30093,6484.962406,34561.40351,5375.93985,392637.3626,82464.67818,2.19,6.03,0.01,0.15,75.7,10.1,7.6,2.17,0.02,1.7,0.07,0.29,NA,22.6
20w48-1-CFP,2020-12-01T00:00:00Z,Confital_1,611.8382736,3886.547595,53435.01238,4789.618035,163780.2198,124483.5165,3.12,12.6,0,0.01,72.4,7.8,6.6,1.06,0.02,0.96,0.15,0.12,NA,21.7
21w03-1-CFP,2021-01-18T00:00:00Z,Confital_1,310.5126968,3385.620915,19673.20261,4647.058824,226565.9341,71662.08791,1.14,3.5,0,0,68.3,8.9,7.1,1.59,0.01,0.94,0.2,0.12,NA,19.3
21w09-1-CFP,2021-03-02T00:00:00Z,Confital_1,451.405342,2661.503473,4007.621858,3368.369291,77667.98419,128063.2411,1.66,2.3,0,0.03,NA,9.8,9.5,0.12,0,0.22,0.06,0.18,NA,19
21w15-1-CFP,2021-04-14T00:00:00Z,Confital_1,338.6769728,3027.389944,9198.138399,8587.777523,136146.4531,114810.0686,2.27,2.27,0,0.01,NA,11.9,11.8,0.03,0,0.16,0.03,0.08,NA,20.3
21w19-1-CFP,2021-05-12T00:00:00Z,Confital_1,387.3624031,5927.088363,13465.71704,3675.760502,161666.1135,115798.2078,1.55,5.32,0,0.01,68.4,13.5,13.3,0.03,0,0.54,0,0.12,NA,20.3
21w26-1-CFP,2021-06-28T00:00:00Z,Confital_1,353.1101202,2918.697844,34249.77278,6128.64579,175943.4464,148102.4769,1.73,2.38,0,0.02,78,13.2,12.9,0.12,0.01,0.55,0.1,0.16,NA,20.9
21w30-1-CFP,2021-07-27T00:00:00Z,Confital_1,162.8034524,2744.472127,21587.90097,5740.034257,121941.3549,109898.8878,0.89,3.71,0,0.02,83.2,9,8.7,0.04,0,0.52,0.01,0.26,NA,21.4
21w50-1-CFP,2021-12-13T00:00:00Z,Confital_1,536.8501686,5387.712418,11570.19608,7546.143791,81448.55253,143315.624,NA,NA,NA,NA,65.9,5,4.8,0.1,0.02,0.4,0.09,0.11,0.27,20.7
22w04-1-CFP,2022-01-24T00:00:00Z,Confital_1,115.6479955,5680.522876,4367.058824,3739.607843,156781.9581,54158.08305,1.39,3.81,0,0.02,59.7,27.6,27.4,0.02,0.01,0.29,0.05,0.13,0.07,20
22w07-1-CFP,2022-02-15T00:00:00Z,Confital_1,92.5183964,9955.555556,4099.346405,5304.052288,128808.4137,109975.0623,1.45,8.16,0,0.02,64,23.2,23.1,0.02,0.01,0.29,0.05,0.06,0.29,19
22w12-1-CFP,2022-03-21T00:00:00Z,Confital_1,299.2376768,4698.947368,16454.73684,15856.84211,66258.26738,150178.9006,NA,NA,NA,NA,70.2,20.9,20.6,0.02,0.01,0.34,0.04,0.21,0.19,18.4
22w16-1-CFP,2022-04-18T00:00:00Z,Confital_1,74.50407462,3413.333333,6056.993464,4626.405229,70179.39023,63647.33328,NA,NA,NA,NA,64.1,20.4,20.3,0.01,0,0.045,0,0.02,0.16,19.3
22w20-1-CFP,2022-05-16T00:00:00Z,Confital_1,93.73574372,4362.105263,12000,11452.63158,192041.635,115732.4081,NA,NA,NA,NA,70.9,23.2,23.1,0,0,0.015,0,0.02,0.19,21.2
