sample,location,latitude,longitude,year,month,day
CANT1,Confital_1,28.15775,-15.43398056,2023,1,24
CANT2,Hotel_Cristina,28.14555722,-15.43176222,2023,1,24
CANT3,Pena_la_Vieja,28.13814528,-15.43767972,2023,1,24
CANT4,Confital_1,28.15775,-15.43398056,2023,2,22
CANT5,Hotel_Cristina,28.14555722,-15.43176222,2023,2,22
CANT6,Pena_la_Vieja,28.13814528,-15.43767972,2023,2,22
CANT7,Confital_1,28.15775,-15.43398056,2023,3,23
CANT8,Hotel_Cristina,28.14555722,-15.43176222,2023,3,23
CANT9,Pena_la_Vieja,28.13814528,-15.43767972,2023,3,23
CANT10,Confital_1,28.15775,-15.43398056,2023,4,19
CANT11,Hotel_Cristina,28.14555722,-15.43176222,2023,4,19
CANT12,Pena_la_Vieja,28.13814528,-15.43767972,2023,4,19
CANT55,Pena_la_Vieja,28.13814528,-15.43767972,2021,12,1
CANT56,Confital_1,28.15775,-15.43398056,2021,12,1
CANT57,Hotel_Cristina,28.14555722,-15.43176222,2021,12,1
CANT58,Pena_la_Vieja,28.13814528,-15.43767972,2022,1,1
CANT59,Confital_1,28.15775,-15.43398056,2022,1,1
CANT60,Hotel_Cristina,28.14555722,-15.43176222,2022,1,1
CANT61,Pena_la_Vieja,28.13814528,-15.43767972,2022,2,15
CANT62,Hotel_Cristina,28.14555722,-15.43176222,2022,2,15
CANT63,Confital_2,28.15972222,-15.4375,2021,7,1
CANT64,Playa_Chica,28.14062306,-15.43630472,2021,7,1
CANT86,Confital_1,28.15775,-15.43398056,2022,3,21
CANT87,Confital_1,28.15775,-15.43398056,2022,8,25
CANT88,Hotel_Cristina,28.14555722,-15.43176222,2022,8,26
CANT89,Pena_la_Vieja,28.13814528,-15.43767972,2022,8,27
CANT90,Confital_1,28.15775,-15.43398056,2022,5,16
CANT91,Hotel_Cristina,28.14555722,-15.43176222,2022,5,17
CANT92,Pena_la_Vieja,28.13814528,-15.43767972,2022,5,18
CANT93,Confital_1,28.15775,-15.43398056,2022,7,27
CANT94,Hotel_Cristina,28.14555722,-15.43176222,2022,7,28
CANT95,Pena_la_Vieja,28.13814528,-15.43767972,2022,7,29
CANT96,Confital_1,28.15775,-15.43398056,2022,4,18
CANT97,Hotel_Cristina,28.14555722,-15.43176222,2022,4,18
CANT98,Pena_la_Vieja,28.13814528,-15.43767972,2022,4,18
CANT99,Confital_1,28.15775,-15.43398056,2022,10,10
CANT100,Hotel_Cristina,28.14555722,-15.43176222,2022,10,11
CANT101,Pena_la_Vieja,28.13814528,-15.43767972,2022,10,12
CANT102,Confital_1,28.15775,-15.43398056,2022,6,14
CANT103,Hotel_Cristina,28.14555722,-15.43176222,2022,6,15
CANT104,Pena_la_Vieja,28.13814528,-15.43767972,2022,6,16
CANT105,Hotel_Cristina,28.14555722,-15.43176222,2022,3,21
CANT106,Pena_la_Vieja,28.13814528,-15.43767972,2022,3,22
CANT107,Confital_1,28.15775,-15.43398056,2022,11,10
CANT108,Hotel_Cristina,28.14555722,-15.43176222,2022,11,11
CANT109,Pena_la_Vieja,28.13814528,-15.43767972,2022,11,12
CANT110,Confital_1,28.15775,-15.43398056,2022,2,15
