sample,location,date,sst
1,Confital_1,2020-04-28T00:00:00Z,20.3
2,Confital_1,2020-05-26T00:00:00Z,20.8
3,Confital_1,2020-07-06T00:00:00Z,21.5
4,Confital_1,2020-08-10T00:00:00Z,22.4
5,Confital_1,2020-08-31T00:00:00Z,23
6,Confital_1,2020-10-05T00:00:00Z,23.3
7,Confital_1,2020-11-02T00:00:00Z,22.6
8,Confital_1,2020-12-01T00:00:00Z,21.7
9,Confital_1,2021-01-18T00:00:00Z,19.3
10,Confital_1,2021-03-02T00:00:00Z,19
11,Confital_1,2021-04-14T00:00:00Z,20.3
12,Confital_1,2021-05-12T00:00:00Z,20.3
13,Confital_1,2021-06-28T00:00:00Z,20.9
14,Confital_1,2021-07-27T00:00:00Z,21.4
15,Confital_1,2021-12-13T00:00:00Z,20.7
16,Confital_1,2022-01-24T00:00:00Z,20
17,Confital_1,2022-02-15T00:00:00Z,19
18,Confital_1,2022-03-21T00:00:00Z,18.4
19,Confital_1,2022-04-18T00:00:00Z,19.3
20,Confital_1,2022-05-16T00:00:00Z,21.2
21,Confital_1,2022-06-14T00:00:00Z,21.5
22,Confital_1,2022-07-28T00:00:00Z,23.6
23,Confital_1,2022-08-25T00:00:00Z,22.9
24,Confital_1,2022-10-10T00:00:00Z,22.8
25,Confital_1,2022-11-10T00:00:00Z,21.2
26,Confital_1,2023-01-24T00:00:00Z,19.6
27,Confital_1,2023-02-22T00:00:00Z,18.7
28,Confital_1,2023-03-30T00:00:00Z,20.2
29,Confital_1,2023-04-30T00:00:00Z,NA
30,Confital_2,2020-04-28T00:00:00Z,20.3
31,Confital_2,2020-05-26T00:00:00Z,20.8
32,Confital_2,2020-07-06T00:00:00Z,21.5
33,Confital_2,2020-08-10T00:00:00Z,22.4
34,Confital_2,2020-08-31T00:00:00Z,23
35,Confital_2,2020-10-05T00:00:00Z,23.3
36,Confital_2,2020-11-02T00:00:00Z,22.6
37,Confital_2,2020-12-01T00:00:00Z,21.7
38,Confital_2,2021-01-18T00:00:00Z,19.3
39,Confital_2,2021-03-02T00:00:00Z,19
40,Confital_2,2021-04-14T00:00:00Z,20.3
41,Confital_2,2021-05-12T00:00:00Z,20.3
42,Confital_2,2021-06-28T00:00:00Z,20.9
43,La_Puntilla,2020-04-28T00:00:00Z,20.3
44,La_Puntilla,2020-05-26T00:00:00Z,20.8
45,La_Puntilla,2020-07-06T00:00:00Z,21.5
46,La_Puntilla,2020-08-10T00:00:00Z,22.4
47,La_Puntilla,2020-08-31T00:00:00Z,23
48,La_Puntilla,2020-10-05T00:00:00Z,23.3
49,La_Puntilla,2020-11-02T00:00:00Z,22.6
50,La_Puntilla,2020-12-01T00:00:00Z,21.7
51,La_Puntilla,2021-01-18T00:00:00Z,19.3
52,La_Puntilla,2021-03-02T00:00:00Z,19
53,La_Puntilla,2021-04-14T00:00:00Z,20.3
54,La_Puntilla,2021-05-12T00:00:00Z,20.3
55,La_Puntilla,2021-06-28T00:00:00Z,20.9
56,Hotel_Cristina,2020-04-28T00:00:00Z,20.3
57,Hotel_Cristina,2020-05-26T00:00:00Z,20.8
58,Hotel_Cristina,2020-07-06T00:00:00Z,21.4
59,Hotel_Cristina,2020-08-10T00:00:00Z,22.4
60,Hotel_Cristina,2020-08-31T00:00:00Z,23
61,Hotel_Cristina,2020-10-05T00:00:00Z,23.3
62,Hotel_Cristina,2020-11-02T00:00:00Z,22.6
63,Hotel_Cristina,2020-12-01T00:00:00Z,21.7
64,Hotel_Cristina,2021-01-18T00:00:00Z,19.3
65,Hotel_Cristina,2021-03-02T00:00:00Z,19
66,Hotel_Cristina,2021-04-14T00:00:00Z,20.3
